INFO:root:2022-04-02 11:46:30.184848 - Amostra 58 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:46:32.211894 - Amostra 59 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:46:34.238690 - Amostra 60 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:46:36.265231 - Amostra 61 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:46:38.291675 - Amostra 62 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:46:40.317071 - Amostra 63 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:46:42.343772 - Amostra 64 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:46:44.370504 - Amostra 65 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:46:46.396521 - Amostra 66 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:46:48.422801 - Amostra 67 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:46:50.449218 - Amostra 68 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:46:52.475034 - Amostra 69 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:46:54.507296 - Amostra 70 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:46:56.533819 - Amostra 71 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:46:58.559924 - Amostra 72 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:47:00.586431 - Amostra 73 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:47:02.612137 - Amostra 74 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:47:04.639058 - Amostra 75 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:47:06.665096 - Amostra 76 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:47:08.691553 - Amostra 77 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:47:10.718450 - Amostra 78 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:47:12.744017 - Amostra 79 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:47:14.774489 - Amostra 80 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:47:16.800254 - Amostra 81 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:47:18.826638 - Amostra 82 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:47:20.856893 - Amostra 83 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:47:22.882436 - Amostra 84 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:47:24.910555 - Amostra 85 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:47:26.942446 - Amostra 86 | Leitura: 30748 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:47:28.970301 - Amostra 87 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:47:30.996462 - Amostra 88 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:47:33.022184 - Amostra 89 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:47:35.048365 - Amostra 90 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:47:37.074713 - Amostra 91 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:47:39.101408 - Amostra 92 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:47:41.127927 - Amostra 93 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:47:43.153846 - Amostra 94 | Leitura: 30748 | Tensão 3.8486174504837183
INFO:root:2022-04-02 11:47:45.180142 - Amostra 95 | Leitura: 30768 | Tensão 3.8486174504837183
INFO:root:2022-04-02 11:47:47.206569 - Amostra 96 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:47:49.232930 - Amostra 97 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:47:51.259266 - Amostra 98 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:47:53.285714 - Amostra 99 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:47:55.311979 - Amostra 100 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:47:57.338179 - Amostra 101 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:47:59.364655 - Amostra 102 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:48:01.389687 - Amostra 103 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:48:03.415764 - Amostra 104 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:48:05.442007 - Amostra 105 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:48:07.468195 - Amostra 106 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:48:09.494020 - Amostra 107 | Leitura: 30748 | Tensão 3.8454923551133766
INFO:root:2022-04-02 11:48:11.519894 - Amostra 108 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:48:13.546450 - Amostra 109 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:48:15.571037 - Amostra 110 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:48:17.597256 - Amostra 111 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:48:19.623627 - Amostra 112 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:48:21.650413 - Amostra 113 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:48:23.677082 - Amostra 114 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:48:25.703360 - Amostra 115 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:48:27.726439 - Amostra 116 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:48:29.752481 - Amostra 117 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:48:31.778772 - Amostra 118 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:48:33.804886 - Amostra 119 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:48:35.831061 - Amostra 120 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:48:37.857672 - Amostra 121 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:48:39.884162 - Amostra 122 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:48:41.913041 - Amostra 123 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:48:43.939965 - Amostra 124 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:48:45.967516 - Amostra 125 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:48:47.993816 - Amostra 126 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:48:50.021018 - Amostra 127 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:48:52.048333 - Amostra 128 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:48:54.075732 - Amostra 129 | Leitura: 30768 | Tensão 3.8461173741874446
